Lot-ID,Wafer-NO,P1_6_max,P1_6_std,P1_7_max,P1_7_std,P1_8_max,P1_8_std,P1_11_min,P1_11_std,P1_12_min,P1_12_std,P1_15_max,P1_15_std,P2_6_max,P2_6_std,P2_7_max,P2_7_std,P2_8_max,P2_8_std,P2_11_min,P2_11_std,P2_12_min,P2_12_std,P2_15_max,P2_15_std,Yield
1549,1,604,1.048808848,-103,1.264911064,2397,1.549193338,2047,0,989,32.43249399,-45,1.211060142,552,0.833929611,-97,1.378022993,1395,2.270172727,1148,6.831403236,896,3.958446443,-102,1.259350989,0
1549,2,603,0.674199862,-100,1.361816968,2403,2.493628244,2047,0,936,121.2907851,-49,5.515268064,552,0.787053634,-82,3.486045394,1398,2.847582763,1104,9.077732684,865,9.160613412,-92,2.397103748,0
1549,4,604,0.904534034,-99,1.53741223,2403,2.427119505,2047,0,770,154.212722,-47,6.410219114,552,0.796016316,-85,2.949157653,1395,2.485948163,1060,7.773530586,822,4.476171479,-78,0.634647759,0
1549,6,604,1.164500153,-98,2.490892502,2400,1.732050808,2047,0,1020,130.0028846,-46,10.92120539,552,0.674076371,-95,2.093708763,1395,2.46169455,1097,6.741949233,897,8.597794945,-98,2.07473584,0
1549,7,604,0.854850414,-74,8.881391832,2461,16.47192083,2047,0,573,148.548083,-42,15.15560318,552,0.783116597,-70,3.963880129,1398,3.055404037,1119,11.27067373,857,11.18158208,-91,1.696219471,0
1549,8,604,0.877058019,-100,2.145358735,2403,3.34549065,2047,0,749,176.1492665,-49,10.90577358,552,0.855398923,-84,2.693087111,1398,3.140364083,1093,9.03844598,863,8.472908894,-90,2.580470973,0
1559,12,604,1.0749677,-68,2.131770261,2400,1.702938637,2047,0,489,121.7166564,-34,3.900142448,552,0.837330979,-58,2.718186874,1398,2.898334463,1120,60.29829556,777,62.1606416,-97,4.859201668,0
1564,2,604,0.603022689,66,37.22128749,2448,14.57582058,1992,17.03917056,456,149.7245957,-29,16.73025747,552,0.677571117,-35,3.778867705,1395,2.601358762,1053,62.74947804,768,52.76350075,-98,5.302354525,0
1565,21,604,0.751067616,-52,4.133974309,2406,3.497251668,2018,8.742029337,440,179.9315397,-29,8.994300189,552,0.799390011,-47,4.068918476,1398,3.036364964,1069,45.02776921,723,36.48203701,-91,4.894372079,0
1571,1,604,0.674199862,17,25.48653834,2451,16.33679617,2047,0,560,109.0966211,-31,14.76543876,552,0.683398103,-62,1.326300969,1402,3.481003105,1089,4.805923751,889,3.436522997,-97,1.63609999,0
