Lot-ID,Wafer-NO,P1_6_std,P1_6_max,P1_7_std,P1_7_max,P1_8_std,P1_8_max,P1_11_std,P1_11_min,P1_12_std,P1_12_min,P1_15_std,P1_15_max,P2_6_std,P2_6_max,P2_7_std,P2_7_max,P2_8_std,P2_8_max,P2_11_std,P2_11_min,P2_12_std,P2_12_min,P2_15_std,P2_15_max,Yield
1551,3,1.240112409,604,1.676486224,-99,2.153221688,2403,0,2047,164.8982239,646,10.89203212,-42,0.697415504,551,2.870306079,-95,2.27489255,1395,80.65640606,1084,19.21109688,816,2.509992131,-95,1
1551,4,0.866025404,604,2.906367096,-103,2.00567377,2400,0,2047,161.4705152,641,10.20546496,-43,0.779610292,552,1.962555318,-98,1.975088359,1395,83.65075822,1103,21.06421074,848,2.029570359,-97,1
1551,5,0.873862898,604,1.972538743,-104,1.566698904,2400,0,2047,155.1054187,622,6.789028582,-43,0.929844282,552,3.944912884,-97,3.032936085,1398,83.40992303,1105,20.86617844,832,2.310900201,-98,1
1551,6,0.792961461,604,1.61432977,-106,2.378884383,2403,0,2047,158.2845539,606,6.501748017,-43,0.804471964,552,2.408260267,-91,2.006768209,1395,76.50882302,1095,21.00725594,816,1.769483949,-96,1
1551,8,0.948683298,604,1.969207398,-101,0.948683298,2400,0,2047,106.915595,586,3.741657387,-42,0.927009516,552,2.871570392,-94,2.888741523,1395,83.55038581,1101,20.52628787,832,2.751010374,-95,1
1551,9,0.924416278,604,1.868397466,-104,1.566698904,2400,0,2047,154.9314805,591,6.638729342,-43,0.860134006,552,3.107263224,-84,2.488107306,1395,79.79133097,1105,22.08183931,811,1.986607704,-96,1
1554,1,1.118033989,604,1.58113883,-71,2.598076211,2403,0,2047,84.34008537,585,2.738612788,-35,0.643212623,552,15.40539402,50,2.571556576,1398,94.06749328,1128,35.58995871,733,4.124285226,-89,1
1554,2,0.904534034,604,2.004540301,-72,2.101947149,2403,0,2047,155.7849917,614,6.305841448,-40,0.631660701,552,1.366285906,-66,2.861190191,1395,89.41438241,1157,17.53727616,964,2.317705972,-111,1
1554,3,0.717740563,604,3.729489363,-63,2.954195784,2403,0,2047,164.7888226,580,9.949493668,-40,0.729817808,552,4.50684535,-38,2.414988164,1395,87.65610517,1152,22.22900518,867,2.817858467,-108,1
1554,4,0.40824829,603,3.32048807,-63,2.449489743,2403,0,2047,168.3005553,559,9.767161097,-40,0.507296378,552,15.37543136,54,2.796828986,1395,90.54923122,1022,43.69280328,641,7.429024941,-58,1
1554,6,0.646669791,604,3.643175438,-66,2.252271581,2403,0,2047,151.1762968,563,9.321529332,-40,0.624352166,552,15.19509503,54,2.450340859,1395,90.40191693,1031,46.84156651,647,7.533987957,-59,1
1554,7,0.621581561,603,1.215431087,-74,1.864744682,2403,0,2047,145.2313724,543,5.7280543,-40,0.725974949,552,4.269723191,-38,2.958768723,1398,86.0532713,1158,21.52725816,879,2.614332025,-108,1
1554,8,0.660225292,603,35.92727697,54,16.30950643,2458,0,2047,145.9534963,545,16.89598648,-40,0.672967024,552,1.414553477,-64,2.388071317,1395,86.25641838,1153,18.43409519,949,2.600665595,-109,1
1554,9,0.70064905,604,1.07871978,-72,2.493628244,2400,0,2047,145.0899408,546,6.067798762,-40,0.710358576,552,3.756031147,-43,2.765649065,1395,87.65858825,1156,20.32590047,880,2.862828283,-107,1
1554,10,0.577350269,604,1.337115847,-72,2.022599587,2400,0,2047,155.5711617,540,6.345482765,-40,0.620549422,552,16.45246738,58,2.627140042,1395,91.47539315,1033,46.40010449,650,7.575709557,-60,1
1554,11,0.514928651,604,1.505042031,-72,2.895921897,2403,0,2047,149.3574876,531,6.179143807,-40,0.727606875,552,1.745934699,-64,3.292947475,1402,83.68965728,1161,21.60191355,936,2.630108642,-109,1
1554,12,0.668557923,604,1.723280874,-70,2.261335084,2400,0,2047,159.8330568,552,7.676706207,-40,0.658888925,552,1.469235803,-67,2.453901916,1395,86.68327627,1149,18.06349645,958,2.213051322,-111,1
1554,13,0.778498944,604,1.240112409,-72,2.98861476,2403,0,2047,153.2056451,533,6.542981435,-39,0.685994341,552,3.185513743,-46,2.486486744,1395,81.20114524,1154,23.57802786,874,2.67364466,-108,1
1554,14,0.801783726,604,32.52691193,46,16.86354414,2461,0,2047,157.8817369,529,17.68605958,-39,0.727898915,552,3.422842505,-44,2.518740944,1395,85.19215084,1147,20.18553222,879,2.56114048,-106,1
1554,19,0.820199532,603,6.903227177,-49,1.213559752,2400,0,2047,145.881521,522,9.38083152,-38,0.790209239,552,3.938975495,-38,2.496208305,1398,82.16578706,1104,18.51307523,847,2.539501589,-102,1
1554,20,0.83484711,604,6.087742279,-52,2.701009912,2403,0,2047,153.8851156,497,9.189503235,-37,0.640910326,552,3.525241721,-40,3.172898956,1395,76.45345273,1099,21.87127786,824,2.6392875,-100,1
1554,21,0.630425172,604,32.9270756,48,16.49941724,2458,0,2047,149.4403234,507,16.73013556,-37,0.662669174,552,4.2047986,-34,3.261418863,1398,77.24406883,1100,21.07346904,828,2.573796931,-101,1
1554,22,0.514928651,603,6.444988657,-49,1.544785952,2400,0,2047,157.0538173,513,9.37234811,-38,0.552941233,552,1.445997611,-63,2.718098545,1395,80.87625325,1114,17.13316826,916,2.345352516,-105,1
1554,23,0.506369684,603,5.150304945,-54,1.951330907,2403,0,2047,165.1863361,494,9.60368519,-37,0.627855794,552,16.14854056,59,2.564448774,1395,81.95924984,996,46.60034255,621,7.434517448,-54,1
1555,6,0.862316499,604,34.81857742,54,16.7009903,2458,0,2047,154.7985871,523,15.83569483,-37,0.766409016,552,3.120006667,-46,3.035664675,1398,81.83745299,1113,18.42643955,847,2.487136557,-103,1
1555,8,0.288675135,603,1.435481125,-70,1.544785952,2400,0,2047,155.7959038,494,7.914313845,-37,0.694402345,552,1.68791834,-63,2.735549271,1395,75.99564115,1100,17.97235051,889,2.12916259,-105,1
1555,17,0.651338947,603,1.381698559,-64,1.544785952,2400,0,2047,137.6720962,473,5.741924501,-35,0.759014822,552,6.944277015,-13,2.698017763,1398,75.99947178,1092,26.79937725,743,2.964464834,-93,1
1555,19,0.730045912,604,30.97357967,47,15.8959529,2458,0,2047,154.7751293,479,16.10900369,-36,0.792852392,552,2.680969065,-45,2.680472254,1398,73.93194349,1075,19.47877704,822,2.450111046,-102,1
1555,20,0.522232968,603,1.083624669,-68,2.558408596,2400,1.443375673,2042,134.6851266,463,5.512382755,-35,0.675050799,552,1.469919224,-60,2.784198239,1395,71.07850179,1067,17.90263522,866,2.202013007,-101,1
1555,21,0.869718493,604,9.473985975,-36,1.980675875,2403,0,2047,156.2238696,480,9.695359715,-36,0.70741712,551,1.22850259,-62,3.041850322,1395,79.57426639,1101,16.09870645,908,2.222480719,-106,1
1555,22,0.70064905,603,1.501514387,-68,2.062654953,2400,0,2047,142.4240787,492,5.780846116,-36,0.667437515,552,3.190718431,-42,2.879470106,1395,78.60574008,1102,18.93816051,834,2.326040149,-104,1
1555,23,0.774596669,604,1.120064933,-67,1.940009372,2400,0,2047,143.5926688,490,6.039265458,-36,0.73651526,552,2.518023561,-47,2.582871922,1395,78.74973731,1104,19.57309984,841,2.397601081,-103,1
