Lot-ID,Wafer-NO,No,6,7,8,11,12,15,ANN
1549,1,1,3,24,10,2,-11,-1,0
1549,1,2,3,25,10,2,-11,-1,0
1549,1,3,3,24,10,2,-11,0,0
1549,1,4,3,25,10,2,-11,-1,0
1549,1,5,3,25,477,2,-11,0,0
1549,1,6,3,24,499,2,-11,0,0
1549,1,7,3,25,1542,2,-11,0,0
1549,1,8,3,24,1869,2,-11,0,0
1549,1,9,3,24,2234,2,-11,0,0
1549,1,10,3,25,2259,2,-11,0,0
1549,1,11,3,24,2339,2,-11,0,0
1549,1,12,3,25,2397,2,-11,0,0
1549,1,13,3,25,2397,2,-12,0,0
1549,1,14,3,25,2400,2,-12,0,0
1549,1,15,560,362,2445,1704,552,-89,0
1549,1,16,591,-28,2400,2047,1219,-89,0
1549,1,17,585,-101,2397,2047,1299,-64,0
1549,1,18,591,-102,2397,2047,1252,-58,0
1549,1,19,596,-102,2397,2047,1191,-53,0
1549,1,20,598,-105,2400,2047,1153,-51,0
1549,1,21,599,-108,2400,2047,1118,-50,0
1549,1,22,601,-106,2397,2047,1078,-48,0
1549,1,23,603,-104,2397,2047,1054,-47,0
1549,1,24,603,-106,2394,2047,1046,-48,0
1549,1,25,602,-105,2394,2047,1025,-46,0
1549,1,26,602,-106,2397,2047,1008,-46,0
1549,1,27,604,-103,2397,2047,989,-45,0
1549,1,28,30,25,2390,470,128,0,0
1549,1,29,3,25,413,3,-11,0,0
1549,1,30,3,25,99,2,-11,0,0
1549,1,31,3,25,58,2,-11,0,0
1549,1,32,3,25,35,2,-11,-1,0
1549,1,33,3,25,26,2,-11,0,0
1549,1,34,3,25,19,2,-11,0,0
1549,1,35,3,25,16,2,-11,0,0
1549,1,36,2,22,13,2,-11,-1,0
1549,1,37,3,24,13,2,-11,-1,0
1549,1,38,4,26,720,2,-11,0,0
1549,1,39,4,26,992,2,-11,0,0
1549,1,40,3,26,1178,2,-11,-1,0
1549,1,41,4,26,1344,2,-11,-1,0
1549,1,42,2,22,1379,2,-11,0,0
1549,1,43,3,25,1389,1,-11,-1,0
1549,1,44,533,9,1392,934,688,-63,0
1549,1,45,528,-90,1389,1074,836,-87,0
1549,1,46,535,-96,1389,1104,865,-96,0
1549,1,47,539,-100,1386,1122,882,-97,0
1549,1,48,542,-101,1389,1131,889,-99,0
1549,1,49,546,-98,1386,1141,896,-100,0
1549,1,50,547,-101,1386,1148,901,-101,0
1549,1,51,548,-102,1386,1143,896,-102,0
1549,1,52,552,-98,1389,1148,900,-102,0
1549,1,53,551,-100,1389,1152,903,-103,0
1549,1,54,552,-97,1386,1151,902,-103,0
1549,1,55,551,-99,1389,1151,900,-103,0
1549,1,56,552,-97,1392,1149,898,-103,0
1549,1,57,550,-99,1389,1151,900,-103,0
1549,1,58,550,-99,1389,1153,902,-103,0
1549,1,59,551,-98,1386,1152,900,-104,0
1549,1,60,550,-98,1389,1151,899,-104,0
1549,1,61,551,-99,1389,1152,900,-104,0
1549,1,62,549,-101,1389,1153,900,-104,0
1549,1,63,550,-99,1389,1153,900,-104,0
1549,1,64,550,-100,1386,1156,902,-105,0
1549,1,65,550,-101,1392,1151,897,-104,0
1549,1,66,550,-99,1395,1152,898,-104,0
1549,1,67,551,-99,1389,1153,899,-104,0
1549,1,68,551,-99,1392,1152,897,-104,0
1549,1,69,550,-101,1392,1153,899,-105,0
1549,1,70,549,-99,1392,1151,896,-104,0
1549,1,71,550,-99,1392,1152,896,-104,0
1549,1,72,549,-100,1392,1153,897,-105,0
1549,1,73,550,-100,1392,1153,897,-105,0
1549,1,74,550,-99,1389,1154,898,-105,0
1549,1,75,550,-98,1392,1154,898,-105,0
1549,1,76,550,-98,1389,1155,898,-105,0
1549,1,77,549,-100,1386,1161,903,-106,0
1549,1,78,549,-102,1392,1152,896,-105,0
1549,1,79,550,-99,1392,1153,896,-105,0
1549,1,80,549,-102,1392,1154,897,-105,0
1549,1,81,548,-101,1389,1155,898,-105,0
1549,1,82,549,-101,1389,1158,900,-105,0
1549,1,83,549,-102,1389,1157,900,-106,0
1549,1,84,550,-102,1392,1156,899,-106,0
1549,1,85,550,-102,1392,1159,901,-106,0
1549,1,86,550,-101,1392,1157,900,-106,0
1549,1,87,550,-100,1392,1160,901,-106,0
1549,1,88,550,-102,1392,1157,899,-106,0
1549,1,89,551,-100,1392,1164,905,-106,0
1549,1,90,551,-100,1389,1161,903,-106,0
1549,1,91,552,-99,1389,1165,906,-106,0
1549,1,92,551,-101,1389,1166,906,-106,0
1549,1,93,551,-101,1392,1160,901,-106,0
1549,1,94,552,-99,1389,1168,908,-106,0
1549,1,95,552,-99,1389,1166,906,-106,0
1549,1,96,551,-100,1389,1164,905,-106,0
1549,1,97,550,-101,1392,1166,906,-106,0
1549,1,98,551,-99,1389,1164,904,-106,0
1549,1,99,550,-101,1395,1159,899,-106,0
1549,1,100,550,-102,1395,1159,900,-106,0
1549,1,101,550,-101,1392,1164,904,-106,0
1549,1,102,551,-99,1392,1163,903,-106,0
1549,1,103,551,-100,1392,1164,904,-106,0
1549,1,104,550,-101,1392,1163,903,-106,0
1549,1,105,550,-101,1392,1163,902,-106,0
1549,1,106,551,-99,1392,1161,901,-106,0
1549,1,107,552,-97,1389,1170,909,-107,0
1549,1,108,550,-99,1386,1166,905,-106,0
1549,1,109,550,-100,1392,1164,904,-106,0
1549,1,110,551,-97,1392,1158,898,-106,0
1549,1,111,551,-98,1392,1159,898,-106,0
1549,1,112,550,-100,1392,1166,905,-106,0
1549,1,113,549,-101,1392,1168,907,-107,0
1549,1,114,550,-98,1392,1170,909,-107,0
1549,1,115,551,-98,1389,1170,909,-107,0
1549,1,116,550,-100,1392,1167,906,-107,0
1549,1,117,550,-101,1389,1170,908,-106,0
1549,1,118,550,-101,1389,1169,908,-107,0
1549,1,119,551,-99,1392,1168,906,-107,0
1549,1,120,551,-98,1389,1168,907,-107,0
1549,1,121,551,-99,1392,1165,904,-106,0
1549,1,122,551,-100,1395,1165,904,-107,0
1549,1,123,551,-98,1392,1168,907,-107,0
1549,1,124,550,-102,1392,1169,908,-107,0
1549,1,125,550,-101,1386,1173,911,-107,0
1549,1,126,550,-100,1386,1169,908,-107,0
1549,1,127,552,-98,1389,1169,908,-107,0
1549,1,128,550,-99,1395,1168,906,-107,0
1549,1,129,4,24,605,3,-11,-1,0
1549,1,130,3,24,416,2,-11,0,0
1549,1,131,3,24,394,2,-11,-1,0
1549,1,132,3,23,390,2,-11,0,0
1549,1,133,3,23,390,2,-11,-1,0
1549,1,134,3,23,390,2,-11,-1,0
1549,1,135,2,23,390,2,-11,-2,0
1549,1,136,2,23,390,2,-11,-1,0
1549,1,137,3,23,390,2,-11,-1,0
1549,2,1,2,23,38,2,-11,-1,0
1549,2,2,3,23,19,2,-11,-1,0
1549,2,3,3,23,13,2,-11,-1,0
1549,2,4,3,23,10,2,-11,-1,0
1549,2,5,3,23,10,2,-11,-1,0
1549,2,6,3,23,10,2,-11,-1,0
1549,2,7,2,23,10,2,-11,0,0
1549,2,8,3,24,6,2,-11,0,0
1549,2,9,3,24,6,2,-11,0,0
1549,2,10,3,24,6,2,-11,-1,0
1549,2,11,3,24,659,2,-11,-1,0
1549,2,12,3,24,509,2,-11,-1,0
1549,2,13,3,24,1533,2,-11,-1,0
1549,2,14,3,24,1862,2,-12,-1,0
1549,2,15,3,24,2211,2,-11,-1,0
1549,2,16,3,24,2298,2,-11,-1,0
1549,2,17,3,24,2397,2,-11,-1,0
1549,2,18,3,24,2400,2,-11,-1,0
1549,2,19,597,-109,2486,2047,976,-105,0
1549,2,20,611,-93,2410,2047,1360,-85,0
1549,2,21,603,-101,2400,2047,1335,-68,0
1549,2,22,605,-101,2397,2047,1273,-63,0
1549,2,23,602,-103,2400,2047,1185,-58,0
1549,2,24,602,-104,2400,2047,1129,-56,0
